id,Title,Content,original_tv_station_address,_original_tv_station_address,archive_1_name,_archive_1_name,archive_1_url,_archive_1_url,archive_2_name,_archive_2_name,archive_2_URL,_archive_2_URL,station_on_air_date,_station_on_air_date,station_off_air_date,_station_off_air_date,Visual,_Visual,Audio,_Audio,height_from_average_terrain,_height_from_average_terrain,height_from_ground,_height_from_ground,channel_code,_channel_code,archive_name,city,url,timeline,state,original_address,geo_address,geo_date,geo_longitude,geo_latitude,tower_power_statistics,_tower_power_statistics,station_power,_station_power,_,_city,_city,_state,city name,_city name,_encloseme,_pingme,_wp_old_date
356, (109)  The Nedom L. Angier house,"<!-- wp:paragraph -->
<p> (109)  The Nedom L. Angier house – built during the 1850 decade, occupied as headquarters by Maj. Gen. John M. Schofield, commander of the Army of Ohio, during the occupation of Atlanta by Federal forces in Sept. 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; (Old Angier house – southeast cor. Washington St., and Capitol Square – due east of City Hall)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"(1) A point in the outer line of defense works, occupied by Hardee’s Corps, July 18 – 22, 1864.","<!-- wp:paragraph -->
<p id=""1-A-point-in-the-outer-line-of-defense-works,-occupied-by-Hardee’s-Corps,-July-18-22,-1864.""><span style=""text-decoration: underline;""><strong>Wilbur Kurtz's Archival Description</strong>:</span></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-12c0571a-9426-4b76-a666-1c5172c76869"">(1) A point in the outer line of defense works, occupied by Hardee’s Corps, July 18 – 22, 1864. From this position, Walker’s Division advanced to the Battle of Peachtree Creek, July 20, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-12c0571a-9426-4b76-a666-1c5172c76869""><br>(On Beverly Road – Northside of same – some three or four hundred feet east of Peachtree Road)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-3443798a-7c88-4de5-92f9-1fc7738947c4""><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,(10) Spelman College,"<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(10) Spelman College. Estabilished 1881; moved to part of this area in 1883. Site used as Militia Muster Grounds, 1836-1863. Site of Confederate Rifle and Cartridge Factory 1863-1865. The Military Barracks of Fort McPherson established here in 1865 – occupied site until 1885.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Some prominent part of Spelman Campus Leonard St. or Ella St. front)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,(100) Site of the Battle of Atlanta￼,"<!-- wp:paragraph -->
<p>Wilbur J. Kurtz's archival description:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(100)   Late afternoon, July 20, 1864, Brig. Gen. Gresham, commanding 4<sup>th</sup> div. Federal 17<sup>th</sup> Corps, was severely wounded while pressing the attack on Wheeler’s Cavalry, posted on Leggett’s Hill. From this point, July 22d, Gen. ,McPherson watched the fighting in the valley of sugar creek where Walker’s div. of Hardee’s Corps, C.S.A, was attacking the 16<sup>th</sup> corps. A few minutes later, McPherson rode forward and was killed one block southward where his monument stands.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Hill-top where Murphy Junior High School now stands)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Newspaper description:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,"(101) Battlefield of Atlanta, July 22, 1864￼","<!-- wp:paragraph -->
<p>Wilbur J. Kurtz's archival description:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(101) Battlefield of Atlanta, July 22, 1864</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>At this point the Battle of Atlanta began at noon. Walker’s and Bate’s divisions of Hardee’s Corps (C.S.A), moving from southward and eastward to attack the rear of McPherson’s troops on Leggett’s Hill and along the Moreland Ave., unexpectedly struck sweeny’s div. of the Federal 16<sup>th</sup> Corps, moving southward on Clay St. from north of the Georgia R.R.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(At the intersection of Clay St. and Memorial Drive)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,(102)Sweeny's Div. of the Federal 16th Corps,"<!-- wp:paragraph -->
<p>Wilbur J. Kurtz's archival description:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(102)   This fragment of intrenchments marks the position of Sweeny’s div. of the Federal 16<sup>th</sup> Corps, in reserve, July 20, 21, 1861. At noon of the 22<sup>nd</sup>, the div. marched southward, crossed the railroad, and but the way of Clay St. reached Memorial Drive where it was attacked by Walker’s and Bate’s divisions of Hardee’s Corps, C.S.A, which encounter began the Battle of Atlanta.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(On fragment of breastworks – McLendon Ave. end of Candler Park – Just east of Mayson Ave.)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,(103) Fortified line of Atlanta Siege,"<!-- wp:paragraph -->
<p>(103)   These entrenched works are a part of the fortified line that encircled Atlanta during the siege of Atlanta,  July 22d – Aug. 25th, 1864. From this line, the troops of Cheatham’s corps advanced eastward across entrenchment Creek valley to attack the Federal 15<sup>th</sup> and 17<sup>th</sup> corps along Moreland Ave., July 22d.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Triangle bounded by Kalb – Bryan and Waldo Sts.- 100 feet east of S. Boulevard, and just south of Home for Incurables)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,(104) Site of Maj. Gen. James B. McPherson death,"<!-- wp:paragraph -->
<p>(104)    This monument marks the scene of the death of Maj. Gen. James B. McPherson, commanding the federal army of Tennessee, July 22, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Gen. McPherson was en route from northward to the left of his line at Glenwood and flat shoals Rd. At this point the rode squarely into a line of skirmishers of Cleburne’s div. of Hardee’s Corps and was shot by them when he refused to surrender.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Within the iron railing of the McPherson monument- McPherson Ave., and Monument Ave., in east Atlanta. No inscription is on the monument other than the one word – “McPherson”.)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,(105)   Fort Walker,"<!-- wp:paragraph -->
<p>(105)   Fort Walker – On this, the summit of Dabney’s Hill, was constructed the southeastern salient angle of this entrenched line of the fortifications surrounding Atlanta, occupied by Confederate forces during the siege of the city, July 22 – Aug. 25, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>It was named Fort Walker in honor of Maj. Gen. N. H. T. Walker who killed in battle two miles east of this point, July 22d, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; (Southeastern corner of Grant Park)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,"(106) Fortification occupied by Confederate forces during the siege of Atlanta, July 22 - Aug. 25, 1864","<!-- wp:paragraph -->
<p>(106)   This fragment of breastworks is a remnant of the city fortifications occupied by Confederate forces during the siege of Atlanta, July 22 – Aug. 25, 1864. The line completely encircled the city, aggregating twelve miles of forts and rifle pits, and was laid out by Lemuel P. Grant, engineer, who in 1883 donated the original 100 acres of this area for a city park.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>            (North of the driveway, nearly midway between Augusta Ave. entrance of Grant Park and the refreshment building in front of Cyclorama)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,(107)   Site of the James E. Williams house in 1864,"<!-- wp:paragraph -->
<p>(107)   Site of the James E. Williams house in 1864. Gen. John B. Hood watched the battle of Atlanta from the second floor of this house, on July 22d, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>            ( In Oakland Cemetery – North of the cemetery office – halfway between building and north wall of the cemetery)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,"(108)   Site of a Confederate fort in a line of works erected July 28th, 1864","<!-- wp:paragraph -->
<p>(108)&nbsp;&nbsp; Site of a Confederate fort in a line of works erected July 28<sup>th</sup>, 1864, to protect the two railroads entering the City from the Southwest. This line extended below East Point.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>            (Elevated ground bounded by Green’s Ferry Ave., Lawton St., Sells Ave., and Abbott St.)</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
